job_id,symbol,lane,experiment_type,priority,target_positives,target_rate,days_with_target,n_top_rules,best_score,best_f1,best_stability
48,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.18763301001286664,0.19999999999999998,0.17751456365975754
131,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.18763301001286664,0.19999999999999998,0.17751456365975754
243,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,237,0.007912396087203285,3,25,0.18585633187241332,0.2025862068965517,0.17216825230720917
85,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.18464795899072767,0.30769230769230765,0.08397531005307132
517,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,medium,153,0.00510800253730845,3,25,0.1775409897010951,0.19170984455958545,0.16594829027142116
520,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,medium,153,0.00510800253730845,3,25,0.1775409897010951,0.19170984455958545,0.16594829027142116
149,ASH_COATED_OSMIUM,p3_seeded,timestamp_window_search,high,3,0.00010017697933014993,3,25,0.17691089608789023,0.30769230769230765,0.06990792295700327
413,ASH_COATED_OSMIUM,no_prior,timestamp_window_search,medium,3,0.00010017697933014993,3,25,0.17691089608789023,0.30769230769230765,0.06990792295700327
521,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,medium,153,0.00510800253730845,3,25,0.17601343853709106,0.1917808219178082,0.1631128521346861
125,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.1676589305807097,0.17142857142857143,0.16457467897791367
54,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,7,0.00023369946249123628,3,25,0.1671762400538299,0.17647058823529413,0.15957177335990458
139,ASH_COATED_OSMIUM,p3_seeded,timestamp_window_search,high,3,0.00010017697933014993,3,25,0.16702078619778038,0.28571428571428575,0.06990792295700327
140,ASH_COATED_OSMIUM,p3_seeded,timestamp_window_search,high,3,0.00010017697933014993,3,25,0.16702078619778038,0.28571428571428575,0.06990792295700327
397,ASH_COATED_OSMIUM,no_prior,timestamp_window_search,medium,3,0.00010017697933014993,3,25,0.16702078619778038,0.28571428571428575,0.06990792295700327
398,ASH_COATED_OSMIUM,no_prior,timestamp_window_search,medium,3,0.00010017697933014993,3,25,0.16702078619778038,0.28571428571428575,0.06990792295700327
113,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,7,0.00023369946249123628,3,25,0.16321062231039046,0.18518518518518517,0.1452314345037402
79,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.15820657042874453,0.26666666666666666,0.06946649168862642
83,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,4,0.00013354254999499215,3,25,0.15820657042874453,0.26666666666666666,0.06946649168862642
121,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.15552277351884386,0.16666666666666669,0.14640504276153427
122,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.15552277351884386,0.16666666666666669,0.14640504276153427
41,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.15319107663847017,0.26666666666666666,0.06034741206994576
377,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,3,0.00010015691249624411,3,25,0.15319107663847017,0.26666666666666666,0.06034741206994576
119,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,5,0.0001669281874937402,3,25,0.14426335349757774,0.15,0.13956973363195954
47,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.14072475750964997,0.15,0.1331359227448181
383,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,3,0.00010015691249624411,3,25,0.14072475750964997,0.15,0.1331359227448181
80,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,6,0.00020031382499248823,3,25,0.1325319020234502,0.2222222222222222,0.05914891276990947
519,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,medium,153,0.00510800253730845,3,25,0.12838849928592183,0.13333333333333336,0.12434272597440328
95,ASH_COATED_OSMIUM,p3_seeded,timestamp_window_search,high,8,0.0002671386115470665,3,25,0.12556398223479054,0.12765957446808512,0.12384940677118585
389,ASH_COATED_OSMIUM,no_prior,timestamp_window_search,medium,8,0.0002671386115470665,3,25,0.12556398223479054,0.12765957446808512,0.12384940677118585
40,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.125,0.125,0.125
75,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.125,0.125,0.125
76,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.125,0.125,0.125
105,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.125,0.125,0.125
106,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.125,0.125,0.125
376,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,3,0.00010015691249624411,3,25,0.125,0.125,0.125
39,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,4,0.00013354254999499215,3,25,0.12059758625920595,0.12244897959183675,0.11908280989614438
375,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,4,0.00013354254999499215,3,25,0.12059758625920595,0.12244897959183675,0.11908280989614438
516,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,medium,153,0.00510800253730845,3,25,0.12003275789121813,0.1276595744680851,0.11379263523741787
18,ASH_COATED_OSMIUM,p3_seeded,timestamp_window_search,high,6,0.00020035395866029986,3,25,0.11779211283934837,0.12244897959183673,0.11398194913276698
354,ASH_COATED_OSMIUM,no_prior,timestamp_window_search,medium,6,0.00020035395866029986,3,25,0.11779211283934837,0.12244897959183673,0.11398194913276698
29,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.11295553529094875,0.11764705882352941,0.10911701603701911
365,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,3,0.00010015691249624411,3,25,0.11295553529094875,0.11764705882352941,0.10911701603701911
493,INTARIAN_PEPPER_ROOT,drift_search,regime_rule_search,medium,14,0.00046739892498247256,2,25,0.110189984458143,0.1935483870967742,0.04198765502653566
497,INTARIAN_PEPPER_ROOT,drift_search,regime_rule_search,medium,14,0.00046739892498247256,2,25,0.110189984458143,0.1935483870967742,0.04198765502653566
541,ASH_COATED_OSMIUM,drift_search,regime_rule_search,medium,12,0.0004007079173205997,3,25,0.11016809195683737,0.11320754716981131,0.10768126496440414
